run_id,tn,fp,fn,tp
run_01_lr1.50e-05_wd0.010_warm0.06,91679,558,838,2673
run_02_lr1.50e-05_wd0.010_warm0.10,91708,529,863,2648
run_03_lr1.50e-05_wd0.015_warm0.06,91689,548,846,2665
run_04_lr1.50e-05_wd0.015_warm0.10,91693,544,832,2679
run_05_lr1.75e-05_wd0.010_warm0.06,91703,534,862,2649
run_06_lr1.75e-05_wd0.010_warm0.10,91705,532,854,2657
run_07_lr1.75e-05_wd0.015_warm0.06,91732,505,875,2636
run_08_lr1.75e-05_wd0.015_warm0.10,91712,525,871,2640
run_09_lr2.00e-05_wd0.010_warm0.06,91738,499,890,2621
run_10_lr2.00e-05_wd0.010_warm0.10,91709,528,853,2658
run_11_lr2.00e-05_wd0.015_warm0.06,91719,518,864,2647
run_12_lr2.00e-05_wd0.015_warm0.10,91714,523,871,2640
run_13_lr2.50e-05_wd0.010_warm0.06,91744,493,902,2609
run_14_lr2.50e-05_wd0.010_warm0.10,91745,492,897,2614
run_15_lr2.50e-05_wd0.015_warm0.06,91739,498,905,2606
run_16_lr2.50e-05_wd0.015_warm0.10,91736,501,913,2598
