train_size,train_fraction,max_train_samples,tn,fp,fn,tp
10000.0,0.06963157931385042,10000.0,91604.0,633.0,1055.0,2456.0
20000.0,0.13926315862770083,20000.0,91628.0,609.0,941.0,2570.0
30000.0,0.20889473794155125,30000.0,91729.0,508.0,1022.0,2489.0
40000.0,0.27852631725540167,40000.0,91349.0,888.0,690.0,2821.0
50000.0,0.3481578965692521,50000.0,91524.0,713.0,776.0,2735.0
60000.0,0.4177894758831025,60000.0,91465.0,772.0,729.0,2782.0
70000.0,0.48742105519695295,70000.0,91497.0,740.0,728.0,2783.0
80000.0,0.5570526345108033,80000.0,91549.0,688.0,792.0,2719.0
90000.0,0.6266842138246538,90000.0,91478.0,759.0,718.0,2793.0
100000.0,0.6963157931385042,100000.0,91650.0,587.0,850.0,2661.0
110000.0,0.7659473724523546,110000.0,91302.0,935.0,598.0,2913.0
120000.0,0.835578951766205,120000.0,91704.0,533.0,853.0,2658.0
130000.0,0.9052105310800554,130000.0,91365.0,872.0,629.0,2882.0
140000.0,0.9748421103939059,140000.0,91574.0,663.0,772.0,2739.0
143613.0,1.0,143613.0,91311.0,926.0,583.0,2928.0
