train_size,train_fraction,max_train_samples,tn,fp,fn,tp
10000.0,0.06963157931385042,10000.0,91113.0,1124.0,736.0,2775.0
20000.0,0.13926315862770083,20000.0,91236.0,1001.0,730.0,2781.0
30000.0,0.20889473794155125,30000.0,91319.0,918.0,716.0,2795.0
40000.0,0.27852631725540167,40000.0,91309.0,928.0,658.0,2853.0
50000.0,0.3481578965692521,50000.0,91410.0,827.0,679.0,2832.0
60000.0,0.4177894758831025,60000.0,91369.0,868.0,637.0,2874.0
70000.0,0.48742105519695295,70000.0,91374.0,863.0,642.0,2869.0
80000.0,0.5570526345108033,80000.0,91308.0,929.0,589.0,2922.0
90000.0,0.6266842138246538,90000.0,91312.0,925.0,596.0,2915.0
100000.0,0.6963157931385042,100000.0,91463.0,774.0,658.0,2853.0
110000.0,0.7659473724523546,110000.0,91306.0,931.0,576.0,2935.0
120000.0,0.835578951766205,120000.0,91423.0,814.0,642.0,2869.0
130000.0,0.9052105310800554,130000.0,91430.0,807.0,648.0,2863.0
140000.0,0.9748421103939059,140000.0,91401.0,836.0,637.0,2874.0
143613.0,1.0,143613.0,91352.0,885.0,592.0,2919.0
