train_size,train_fraction,max_train_samples,label,best_threshold,best_f1_on_val
10000,0.06963157931385042,10000,toxic,0.425,0.809354
10000,0.06963157931385042,10000,severe_toxic,0.225,0.507726
10000,0.06963157931385042,10000,obscene,0.51,0.797794
10000,0.06963157931385042,10000,threat,0.14,0.217054
10000,0.06963157931385042,10000,insult,0.2,0.743604
10000,0.06963157931385042,10000,identity_hate,0.255,0.471429
20000,0.13926315862770083,20000,toxic,0.49,0.81911
20000,0.13926315862770083,20000,severe_toxic,0.31,0.53944
20000,0.13926315862770083,20000,obscene,0.355,0.839477
20000,0.13926315862770083,20000,threat,0.175,0.292683
20000,0.13926315862770083,20000,insult,0.365,0.752522
20000,0.13926315862770083,20000,identity_hate,0.22,0.394667
30000,0.20889473794155125,30000,toxic,0.39,0.827034
30000,0.20889473794155125,30000,severe_toxic,0.14,0.523077
30000,0.20889473794155125,30000,obscene,0.5,0.836017
30000,0.20889473794155125,30000,threat,0.065,0.368421
30000,0.20889473794155125,30000,insult,0.39,0.764198
30000,0.20889473794155125,30000,identity_hate,0.12,0.40118
40000,0.27852631725540167,40000,toxic,0.49,0.830541
40000,0.27852631725540167,40000,severe_toxic,0.42,0.540107
40000,0.27852631725540167,40000,obscene,0.655,0.83936
40000,0.27852631725540167,40000,threat,0.22,0.438095
40000,0.27852631725540167,40000,insult,0.515,0.766567
40000,0.27852631725540167,40000,identity_hate,0.335,0.518732
50000,0.3481578965692521,50000,toxic,0.565,0.835298
50000,0.3481578965692521,50000,severe_toxic,0.355,0.521964
50000,0.3481578965692521,50000,obscene,0.46,0.832761
50000,0.3481578965692521,50000,threat,0.73,0.578313
50000,0.3481578965692521,50000,insult,0.355,0.771141
50000,0.3481578965692521,50000,identity_hate,0.25,0.598639
60000,0.4177894758831025,60000,toxic,0.56,0.83687
60000,0.4177894758831025,60000,severe_toxic,0.38,0.527473
60000,0.4177894758831025,60000,obscene,0.51,0.844016
60000,0.4177894758831025,60000,threat,0.48,0.582524
60000,0.4177894758831025,60000,insult,0.325,0.765418
60000,0.4177894758831025,60000,identity_hate,0.42,0.573529
70000,0.48742105519695295,70000,toxic,0.57,0.838493
70000,0.48742105519695295,70000,severe_toxic,0.27,0.520548
70000,0.48742105519695295,70000,obscene,0.485,0.839185
70000,0.48742105519695295,70000,threat,0.47,0.574713
70000,0.48742105519695295,70000,insult,0.45,0.777251
70000,0.48742105519695295,70000,identity_hate,0.28,0.59589
80000,0.5570526345108033,80000,toxic,0.46,0.832958
80000,0.5570526345108033,80000,severe_toxic,0.445,0.532609
80000,0.5570526345108033,80000,obscene,0.365,0.843944
80000,0.5570526345108033,80000,threat,0.61,0.6
80000,0.5570526345108033,80000,insult,0.295,0.780048
80000,0.5570526345108033,80000,identity_hate,0.06,0.586592
90000,0.6266842138246538,90000,toxic,0.445,0.833597
90000,0.6266842138246538,90000,severe_toxic,0.32,0.536341
90000,0.6266842138246538,90000,obscene,0.51,0.841232
90000,0.6266842138246538,90000,threat,0.575,0.613636
90000,0.6266842138246538,90000,insult,0.415,0.775872
90000,0.6266842138246538,90000,identity_hate,0.43,0.606061
100000,0.6963157931385042,100000,toxic,0.375,0.840864
100000,0.6963157931385042,100000,severe_toxic,0.32,0.535211
100000,0.6963157931385042,100000,obscene,0.505,0.844418
100000,0.6963157931385042,100000,threat,0.765,0.592593
100000,0.6963157931385042,100000,insult,0.42,0.784266
100000,0.6963157931385042,100000,identity_hate,0.23,0.599407
110000,0.7659473724523546,110000,toxic,0.575,0.840065
110000,0.7659473724523546,110000,severe_toxic,0.44,0.522222
110000,0.7659473724523546,110000,obscene,0.555,0.843786
110000,0.7659473724523546,110000,threat,0.23,0.614173
110000,0.7659473724523546,110000,insult,0.525,0.773816
110000,0.7659473724523546,110000,identity_hate,0.26,0.606061
120000,0.835578951766205,120000,toxic,0.475,0.841964
120000,0.835578951766205,120000,severe_toxic,0.2,0.537383
120000,0.835578951766205,120000,obscene,0.395,0.845661
120000,0.835578951766205,120000,threat,0.53,0.651685
120000,0.835578951766205,120000,insult,0.39,0.783981
120000,0.835578951766205,120000,identity_hate,0.185,0.597633
130000,0.9052105310800554,130000,toxic,0.665,0.841751
130000,0.9052105310800554,130000,severe_toxic,0.245,0.542787
130000,0.9052105310800554,130000,obscene,0.61,0.849331
130000,0.9052105310800554,130000,threat,0.065,0.6
130000,0.9052105310800554,130000,insult,0.465,0.778772
130000,0.9052105310800554,130000,identity_hate,0.535,0.57971
140000,0.9748421103939059,140000,toxic,0.34,0.838624
140000,0.9748421103939059,140000,severe_toxic,0.285,0.531469
140000,0.9748421103939059,140000,obscene,0.62,0.844496
140000,0.9748421103939059,140000,threat,0.4,0.633663
140000,0.9748421103939059,140000,insult,0.425,0.780723
140000,0.9748421103939059,140000,identity_hate,0.315,0.6
143613,1.0,143613,toxic,0.59,0.841146
143613,1.0,143613,severe_toxic,0.37,0.516746
143613,1.0,143613,obscene,0.545,0.850348
143613,1.0,143613,threat,0.205,0.625
143613,1.0,143613,insult,0.555,0.779359
143613,1.0,143613,identity_hate,0.445,0.620462
