train_size,train_fraction,max_train_samples,label,precision,recall,f1,roc_auc
10000,0.1636982713462546,10000,toxic,0.6950986632718014,0.7141922825376062,0.704516129032258,0.9459335196300271
10000,0.1636982713462546,10000,severe_toxic,0.30277777777777776,0.68125,0.41923076923076924,0.9813132991517912
10000,0.1636982713462546,10000,obscene,0.7015276145710928,0.7065088757396449,0.7040094339622641,0.9602872952750031
10000,0.1636982713462546,10000,threat,0.5833333333333334,0.2916666666666667,0.3888888888888889,0.9725853760737482
10000,0.1636982713462546,10000,insult,0.6217142857142857,0.6903553299492385,0.6542393265183404,0.9573612008070965
10000,0.1636982713462546,10000,identity_hate,0.25806451612903225,0.45390070921985815,0.32904884318766064,0.9458686833494978
20000,0.3273965426925092,20000,toxic,0.7314132618888145,0.7141922825376062,0.7227001985440106,0.9520125858373023
20000,0.3273965426925092,20000,severe_toxic,0.3602693602693603,0.66875,0.4682713347921225,0.983444502468667
20000,0.3273965426925092,20000,obscene,0.7237163814180929,0.7005917159763314,0.7119663259170175,0.9649558337056112
20000,0.3273965426925092,20000,threat,0.48484848484848486,0.3333333333333333,0.3950617283950617,0.9764155143515608
20000,0.3273965426925092,20000,insult,0.664572864321608,0.6713197969543148,0.6679292929292929,0.9670556451585918
20000,0.3273965426925092,20000,identity_hate,0.2549019607843137,0.46099290780141844,0.3282828282828283,0.9512251608265997
30000,0.49109481403876376,30000,toxic,0.711864406779661,0.7416612164813604,0.726457399103139,0.9559418865275725
30000,0.49109481403876376,30000,severe_toxic,0.3688212927756654,0.60625,0.458628841607565,0.9831881409039118
30000,0.49109481403876376,30000,obscene,0.7795275590551181,0.7029585798816568,0.7392657125077785,0.9713387941021818
30000,0.49109481403876376,30000,threat,0.4,0.4166666666666667,0.40816326530612246,0.9719110098470564
30000,0.49109481403876376,30000,insult,0.6508670520231213,0.7144670050761421,0.6811857229280097,0.9688025558057748
30000,0.49109481403876376,30000,identity_hate,0.40476190476190477,0.3617021276595745,0.38202247191011235,0.9548382945542478
40000,0.6547930853850183,40000,toxic,0.7345639719923616,0.7547416612164813,0.7445161290322581,0.9579876267459875
40000,0.6547930853850183,40000,severe_toxic,0.37448559670781895,0.56875,0.45161290322580644,0.9823169863273832
40000,0.6547930853850183,40000,obscene,0.750599520383693,0.7408284023668639,0.7456819535437761,0.9713330777961838
40000,0.6547930853850183,40000,threat,0.4117647058823529,0.4375,0.42424242424242425,0.968088728263147
40000,0.6547930853850183,40000,insult,0.6424581005586593,0.7296954314720813,0.6833036244800951,0.9657180131102999
40000,0.6547930853850183,40000,identity_hate,0.4330708661417323,0.3900709219858156,0.41044776119402987,0.9508310252412678
50000,0.8184913567312729,50000,toxic,0.8134920634920635,0.670372792674951,0.7350304768734314,0.9604761430555906
50000,0.8184913567312729,50000,severe_toxic,0.35036496350364965,0.6,0.4423963133640553,0.984286381187492
50000,0.8184913567312729,50000,obscene,0.796078431372549,0.7207100591715976,0.7565217391304347,0.9765612660756424
50000,0.8184913567312729,50000,threat,0.4634146341463415,0.3958333333333333,0.42696629213483145,0.9742719463649696
50000,0.8184913567312729,50000,insult,0.7064220183486238,0.684010152284264,0.6950354609929078,0.9716070657756927
50000,0.8184913567312729,50000,identity_hate,0.3386243386243386,0.45390070921985815,0.3878787878787879,0.9549019660595005
60000,0.9821896280775275,60000,toxic,0.7769230769230769,0.7266187050359713,0.7509293680297398,0.9602720359011023
60000,0.9821896280775275,60000,severe_toxic,0.37130801687763715,0.55,0.4433249370277078,0.9842440498797316
60000,0.9821896280775275,60000,obscene,0.7997416020671835,0.7325443786982249,0.7646695491043854,0.9759473504725938
60000,0.9821896280775275,60000,threat,0.47368421052631576,0.375,0.4186046511627907,0.9703593128011732
60000,0.9821896280775275,60000,insult,0.6772228989037758,0.7055837563451777,0.6911124922311995,0.9703677275145643
60000,0.9821896280775275,60000,identity_hate,0.4722222222222222,0.3617021276595745,0.40963855421686746,0.9570237517134137
61088,1.0,61088,toxic,0.797145003756574,0.6939175931981687,0.7419580419580419,0.9602622226213006
61088,1.0,61088,severe_toxic,0.33753943217665616,0.66875,0.44863731656184486,0.9835489460691228
61088,1.0,61088,obscene,0.786346396965866,0.736094674556213,0.7603911980440098,0.9757558150688874
61088,1.0,61088,threat,0.4523809523809524,0.3958333333333333,0.4222222222222222,0.9737376911795517
61088,1.0,61088,insult,0.6822660098522167,0.7030456852791879,0.6925,0.9709886096322892
61088,1.0,61088,identity_hate,0.37254901960784315,0.40425531914893614,0.3877551020408163,0.954654902683485
