train_size,train_fraction,max_train_samples,label,best_threshold,best_f1_on_val
10000,0.1636982713462546,10000,toxic,0.68,0.704516
10000,0.1636982713462546,10000,severe_toxic,0.82,0.419231
10000,0.1636982713462546,10000,obscene,0.75,0.704009
10000,0.1636982713462546,10000,threat,0.96,0.388889
10000,0.1636982713462546,10000,insult,0.67,0.654239
10000,0.1636982713462546,10000,identity_hate,0.84,0.329049
20000,0.3273965426925092,20000,toxic,0.77,0.7227
20000,0.3273965426925092,20000,severe_toxic,0.89,0.468271
20000,0.3273965426925092,20000,obscene,0.8,0.711966
20000,0.3273965426925092,20000,threat,0.99,0.395062
20000,0.3273965426925092,20000,insult,0.79,0.667929
20000,0.3273965426925092,20000,identity_hate,0.83,0.328283
30000,0.49109481403876376,30000,toxic,0.77,0.726457
30000,0.49109481403876376,30000,severe_toxic,0.92,0.458629
30000,0.49109481403876376,30000,obscene,0.87,0.739266
30000,0.49109481403876376,30000,threat,0.93,0.408163
30000,0.49109481403876376,30000,insult,0.78,0.681186
30000,0.49109481403876376,30000,identity_hate,0.96,0.382022
40000,0.6547930853850183,40000,toxic,0.61,0.744516
40000,0.6547930853850183,40000,severe_toxic,0.89,0.451613
40000,0.6547930853850183,40000,obscene,0.65,0.745682
40000,0.6547930853850183,40000,threat,0.92,0.424242
40000,0.6547930853850183,40000,insult,0.54,0.683304
40000,0.6547930853850183,40000,identity_hate,0.86,0.410448
50000,0.8184913567312729,50000,toxic,0.88,0.73503
50000,0.8184913567312729,50000,severe_toxic,0.94,0.442396
50000,0.8184913567312729,50000,obscene,0.87,0.756522
50000,0.8184913567312729,50000,threat,0.98,0.426966
50000,0.8184913567312729,50000,insult,0.81,0.695035
50000,0.8184913567312729,50000,identity_hate,0.92,0.387879
60000,0.9821896280775275,60000,toxic,0.76,0.750929
60000,0.9821896280775275,60000,severe_toxic,0.93,0.443325
60000,0.9821896280775275,60000,obscene,0.81,0.76467
60000,0.9821896280775275,60000,threat,0.96,0.418605
60000,0.9821896280775275,60000,insult,0.75,0.691112
60000,0.9821896280775275,60000,identity_hate,0.95,0.409639
61088,1.0,61088,toxic,0.85,0.741958
61088,1.0,61088,severe_toxic,0.89,0.448637
61088,1.0,61088,obscene,0.83,0.760391
61088,1.0,61088,threat,0.97,0.422222
61088,1.0,61088,insult,0.77,0.6925
61088,1.0,61088,identity_hate,0.95,0.387755
