run_id,train_size,train_fraction,max_train_samples,actual_train_samples,actual_val_samples,validation_fraction,random_state,use_iterative_stratify,rebalance_train,model_name,problem_type,max_length,batch_size,gradient_accumulation_steps,max_epochs,epochs_ran,best_epoch,early_stopped,learning_rate,weight_decay,warmup_ratio,max_grad_norm,early_stop_enabled,early_stop_patience,early_stop_min_delta,loss_type,pos_weight_used,mixed_precision,use_amp_effective,torch_compile,num_workers,num_params,train_time_s,inference_time_s,train_loss_last,val_loss_last,baseline_micro_f1,baseline_macro_f1,baseline_samples_f1,tuned_micro_f1,tuned_macro_f1,tuned_samples_f1,threshold_grid_start,threshold_grid_end,threshold_grid_step
train_size_10000,10000,0.06963157931385042,10000,10000,15958,0.1,42,True,False,distilbert-base-uncased,multi_label_classification,128,32,1,5,5,3,True,1.75e-05,0.015,0.1,1.0,True,2,0.0,BCEWithLogitsLoss,False,bf16,True,False,2,66958086,96.8219163650001,32.194086875999915,0.03248973088428235,0.04823791861178574,0.7258142146638857,0.3777849195512222,0.06169752147004935,0.7261216625378475,0.5444046808340054,0.06220460201535524,0.05,0.9500000000000002,0.010000000000000002
train_size_20000,20000,0.13926315862770083,20000,20000,15958,0.1,42,True,False,distilbert-base-uncased,multi_label_classification,128,32,1,5,5,3,True,1.75e-05,0.015,0.1,1.0,True,2,0.0,BCEWithLogitsLoss,False,bf16,True,False,2,66958086,194.94242549700004,33.8545150650001,0.025616341650485992,0.04544460281479137,0.771158950162194,0.5094010000105199,0.06959434189350219,0.7752026162377363,0.6312446015568912,0.06808487358681618,0.05,0.9500000000000002,0.010000000000000002
train_size_30000,30000,0.20889473794155125,30000,30000,15958,0.1,42,True,False,distilbert-base-uncased,multi_label_classification,128,32,1,5,5,3,True,1.75e-05,0.015,0.1,1.0,True,2,0.0,BCEWithLogitsLoss,False,bf16,True,False,2,66958086,292.6164044720001,33.57671561799975,0.02361965542698258,0.04618245215208376,0.7696685161473894,0.5233879213318863,0.07161255908592667,0.7696523871339969,0.6199750824518718,0.06449878713006924,0.05,0.9500000000000002,0.010000000000000002
train_size_40000,40000,0.27852631725540167,40000,40000,15958,0.1,42,True,False,distilbert-base-uncased,multi_label_classification,128,32,1,5,5,3,True,1.75e-05,0.015,0.1,1.0,True,2,0.0,BCEWithLogitsLoss,False,bf16,True,False,2,66958086,389.7664730230001,33.661060905999875,0.021515408455766737,0.04620158512156712,0.7738329052726998,0.5659771509325235,0.06595519859400044,0.7823621154118815,0.6602581768123935,0.06718470219535515,0.05,0.9500000000000002,0.010000000000000002
train_size_50000,50000,0.3481578965692521,50000,50000,15958,0.1,42,True,False,distilbert-base-uncased,multi_label_classification,128,32,1,5,4,2,True,1.75e-05,0.015,0.1,1.0,True,2,0.0,BCEWithLogitsLoss,False,bf16,True,False,2,66958086,391.0551189030002,27.12306324100018,0.024753394901300515,0.044833362299936334,0.7807532579120722,0.6294816847680309,0.06739792424088702,0.7852226436297233,0.6785997837942647,0.06845244198922605,0.05,0.9500000000000002,0.010000000000000002
train_size_60000,60000,0.4177894758831025,60000,60000,15958,0.1,42,True,False,distilbert-base-uncased,multi_label_classification,128,32,1,5,4,2,True,1.75e-05,0.015,0.1,1.0,True,2,0.0,BCEWithLogitsLoss,False,bf16,True,False,2,66958086,469.26011282000036,27.224749192999752,0.024709880382016613,0.04460751253039294,0.7798649838567655,0.5796927386151981,0.0667145602444512,0.7836688403742558,0.6764876702529855,0.06692688708292166,0.05,0.9500000000000002,0.010000000000000002
train_size_70000,70000,0.48742105519695295,70000,70000,15958,0.1,42,True,False,distilbert-base-uncased,multi_label_classification,128,32,1,5,4,2,True,1.75e-05,0.015,0.1,1.0,True,2,0.0,BCEWithLogitsLoss,False,bf16,True,False,2,66958086,546.6209168810005,27.49034826099978,0.02404758893174867,0.04461767172266147,0.7836538461538461,0.6104183540721755,0.07295723695335175,0.7843082894372054,0.6729516374974653,0.06684738998312129,0.05,0.9500000000000002,0.010000000000000002
train_size_80000,80000,0.5570526345108033,80000,80000,15958,0.1,42,True,False,distilbert-base-uncased,multi_label_classification,128,32,1,5,4,2,True,1.75e-05,0.015,0.1,1.0,True,2,0.0,BCEWithLogitsLoss,False,bf16,True,False,2,66958086,625.3457178160002,27.315215331999752,0.023388315051584504,0.04479963401558096,0.7806367204535543,0.590888234561538,0.069286241463206,0.7821529745042493,0.6891169634133427,0.06608815040636071,0.05,0.9500000000000002,0.010000000000000002
train_size_90000,90000,0.6266842138246538,90000,90000,15958,0.1,42,True,False,distilbert-base-uncased,multi_label_classification,128,32,1,5,4,2,True,1.75e-05,0.015,0.1,1.0,True,2,0.0,BCEWithLogitsLoss,False,bf16,True,False,2,66958086,703.0410237549995,27.09791002199927,0.0229674579409736,0.04369488916926637,0.7793696275071633,0.6157319905552079,0.06523239123188992,0.7904225352112676,0.6982096637886238,0.0679787553800588,0.05,0.9500000000000002,0.010000000000000002
train_size_100000,100000,0.6963157931385042,100000,100000,15958,0.1,42,True,False,distilbert-base-uncased,multi_label_classification,128,32,1,5,4,2,True,1.75e-05,0.015,0.1,1.0,True,2,0.0,BCEWithLogitsLoss,False,bf16,True,False,2,66958086,779.8930681300008,27.30331798700081,0.02329968848920893,0.04338149332812565,0.7834458973990516,0.639199372680487,0.06849760473334855,0.7860262008733624,0.6911129296828505,0.06759015865420177,0.05,0.9500000000000002,0.010000000000000002
train_size_110000,110000,0.7659473724523546,110000,110000,15958,0.1,42,True,False,distilbert-base-uncased,multi_label_classification,128,32,1,5,4,2,True,1.75e-05,0.015,0.1,1.0,True,2,0.0,BCEWithLogitsLoss,False,bf16,True,False,2,66958086,858.8637159779992,27.42039167999974,0.02309423847064647,0.04306689588713949,0.7707332196558673,0.6487073034944758,0.06171168653935918,0.7830188679245284,0.6938632635037347,0.06600164085124607,0.05,0.9500000000000002,0.010000000000000002
train_size_120000,120000,0.835578951766205,120000,120000,15958,0.1,42,True,False,distilbert-base-uncased,multi_label_classification,128,32,1,5,4,2,True,1.75e-05,0.015,0.1,1.0,True,2,0.0,BCEWithLogitsLoss,False,bf16,True,False,2,66958086,937.8016002060003,27.437341592998564,0.02268811535529482,0.04419510381377406,0.7832349128618753,0.6616338125625193,0.06602566676197456,0.7899182938651156,0.6891965902145168,0.07031445459193297,0.05,0.9500000000000002,0.010000000000000002
train_size_130000,130000,0.9052105310800554,130000,130000,15958,0.1,42,True,False,distilbert-base-uncased,multi_label_classification,128,32,1,5,5,3,True,1.75e-05,0.015,0.1,1.0,True,2,0.0,BCEWithLogitsLoss,False,bf16,True,False,2,66958086,1268.8419378130002,34.20511981300115,0.01905723259794102,0.046796619023452675,0.7892164123833506,0.6402402074489572,0.06874401273762096,0.7976057906458798,0.6910021927544698,0.06963290361585887,0.05,0.9500000000000002,0.010000000000000002
train_size_140000,140000,0.9748421103939059,140000,140000,15958,0.1,42,True,False,distilbert-base-uncased,multi_label_classification,128,32,1,5,4,2,True,1.75e-05,0.015,0.1,1.0,True,2,0.0,BCEWithLogitsLoss,False,bf16,True,False,2,66958086,1094.0930814060011,27.36125226999866,0.022730716612795368,0.04478280235768155,0.7935540069686411,0.6572411094244728,0.07011641941771031,0.7954292084726867,0.7041105740694137,0.06976963971261502,0.05,0.9500000000000002,0.010000000000000002
