train_size,train_fraction,max_train_samples,tn,fp,fn,tp
10000.0,0.06963157931385042,10000.0,91777.0,460.0,1249.0,2262.0
20000.0,0.13926315862770083,20000.0,91581.0,656.0,896.0,2615.0
30000.0,0.20889473794155125,30000.0,91424.0,813.0,806.0,2705.0
40000.0,0.27852631725540167,40000.0,91690.0,547.0,950.0,2561.0
50000.0,0.3481578965692521,50000.0,91491.0,746.0,785.0,2726.0
60000.0,0.4177894758831025,60000.0,91591.0,646.0,854.0,2657.0
70000.0,0.48742105519695295,70000.0,91447.0,790.0,740.0,2771.0
80000.0,0.5570526345108033,80000.0,91554.0,683.0,826.0,2685.0
90000.0,0.6266842138246538,90000.0,91701.0,536.0,927.0,2584.0
100000.0,0.6963157931385042,100000.0,91515.0,722.0,785.0,2726.0
110000.0,0.7659473724523546,110000.0,91783.0,454.0,1025.0,2486.0
120000.0,0.835578951766205,120000.0,91524.0,713.0,792.0,2719.0
130000.0,0.9052105310800554,130000.0,91661.0,576.0,847.0,2664.0
140000.0,0.9748421103939059,140000.0,91593.0,644.0,778.0,2733.0
143613.0,1.0,143613.0,91569.0,668.0,774.0,2737.0
