train_size,train_fraction,max_train_samples,label,best_threshold,best_f1_on_val
10000,0.06963157931385042,10000,toxic,0.48,0.8078088185796028
10000,0.06963157931385042,10000,severe_toxic,0.17,0.5125628140703518
10000,0.06963157931385042,10000,obscene,0.33,0.807806031933767
10000,0.06963157931385042,10000,threat,0.05,0.08362369337979095
10000,0.06963157931385042,10000,insult,0.32,0.7398119122257053
10000,0.06963157931385042,10000,identity_hate,0.16,0.3148148148148148
20000,0.13926315862770083,20000,toxic,0.57,0.8221343873517787
20000,0.13926315862770083,20000,severe_toxic,0.34,0.5384615384615384
20000,0.13926315862770083,20000,obscene,0.54,0.8333333333333334
20000,0.13926315862770083,20000,threat,0.12,0.34615384615384615
20000,0.13926315862770083,20000,insult,0.44,0.7603715170278638
20000,0.13926315862770083,20000,identity_hate,0.21,0.487012987012987
30000,0.20889473794155125,30000,toxic,0.74,0.8196607822776047
30000,0.20889473794155125,30000,severe_toxic,0.42,0.5164835164835165
30000,0.20889473794155125,30000,obscene,0.56,0.829585798816568
30000,0.20889473794155125,30000,threat,0.18,0.34
30000,0.20889473794155125,30000,insult,0.5,0.7594458438287154
30000,0.20889473794155125,30000,identity_hate,0.22,0.45484949832775917
40000,0.27852631725540167,40000,toxic,0.46,0.8273065224738088
40000,0.27852631725540167,40000,severe_toxic,0.28,0.5224719101123596
40000,0.27852631725540167,40000,obscene,0.32,0.8311390955924441
40000,0.27852631725540167,40000,threat,0.15,0.45098039215686275
40000,0.27852631725540167,40000,insult,0.41,0.7593386405388854
40000,0.27852631725540167,40000,identity_hate,0.3,0.5703125
50000,0.3481578965692521,50000,toxic,0.47,0.8301761382519109
50000,0.3481578965692521,50000,severe_toxic,0.46,0.5367088607594936
50000,0.3481578965692521,50000,obscene,0.6,0.8282828282828283
50000,0.3481578965692521,50000,threat,0.27,0.5217391304347826
50000,0.3481578965692521,50000,insult,0.45,0.7684848484848484
50000,0.3481578965692521,50000,identity_hate,0.28,0.5862068965517241
60000,0.4177894758831025,60000,toxic,0.49,0.8284745762711865
60000,0.4177894758831025,60000,severe_toxic,0.31,0.5207756232686981
60000,0.4177894758831025,60000,obscene,0.65,0.8376584188292094
60000,0.4177894758831025,60000,threat,0.22,0.5432098765432098
60000,0.4177894758831025,60000,insult,0.48,0.7633313361294188
60000,0.4177894758831025,60000,identity_hate,0.2,0.5654761904761905
70000,0.48742105519695295,70000,toxic,0.68,0.8324803821221426
70000,0.48742105519695295,70000,severe_toxic,0.19,0.5322245322245323
70000,0.48742105519695295,70000,obscene,0.45,0.8399532710280374
70000,0.48742105519695295,70000,threat,0.23,0.47191011235955055
70000,0.48742105519695295,70000,insult,0.44,0.7675931401537551
70000,0.48742105519695295,70000,identity_hate,0.31,0.5935483870967742
80000,0.5570526345108033,80000,toxic,0.59,0.8240109140518418
80000,0.5570526345108033,80000,severe_toxic,0.19,0.5277161862527716
80000,0.5570526345108033,80000,obscene,0.62,0.8373493975903614
80000,0.5570526345108033,80000,threat,0.24,0.5714285714285714
80000,0.5570526345108033,80000,insult,0.48,0.766935985083903
80000,0.5570526345108033,80000,identity_hate,0.33,0.6072607260726073
90000,0.6266842138246538,90000,toxic,0.41,0.8341232227488151
90000,0.6266842138246538,90000,severe_toxic,0.29,0.5404040404040404
90000,0.6266842138246538,90000,obscene,0.58,0.8375451263537906
90000,0.6266842138246538,90000,threat,0.23,0.5918367346938775
90000,0.6266842138246538,90000,insult,0.32,0.7699642431466031
90000,0.6266842138246538,90000,identity_hate,0.15,0.6153846153846154
100000,0.6963157931385042,100000,toxic,0.53,0.8299090602896598
100000,0.6963157931385042,100000,severe_toxic,0.32,0.531328320802005
100000,0.6963157931385042,100000,obscene,0.55,0.8364069006543724
100000,0.6963157931385042,100000,threat,0.36,0.5945945945945946
100000,0.6963157931385042,100000,insult,0.53,0.7673419275629221
100000,0.6963157931385042,100000,identity_hate,0.28,0.5870967741935483
110000,0.7659473724523546,110000,toxic,0.35,0.8341915550978373
